	RealEstateProjectID	HouseID	ProjectName	HouseUseType	FloorName	MeasuredBuildingArea	MeasuredInternalBuildingArea	MeasuredSharedPublicArea	LandUse	TotalBuildingArea	FloorArea	DistrictName	RegionName	Decoration	PropertyRightsDesc	ParkingSpaceAmount	HousingCount	ParkingSpaceAmount.1	ManagementFees	GreeningRate	FloorAreaRatio	ClassifyResult
1097	9227ef25-825c-31e1-8140-55e189440c0a	3b2c14ab-0716-32be-8fbc-e7f2bd3eb7b0	泉盛美家	住宅	12	140.95	106.03	34.92	住宅		667740.0	泉山区	西区	无			7177.0					3
1098	59cf15a6-637f-3037-8555-f28aa1f70fb4	e5f7d009-d9e6-30ee-80b2-b4ad70da9482	盛世豪庭住宅小区	住宅	10	113.82	89.71	24.11	住宅		65888.0	邳州市		无			1007.0					3
1099	0eb7cd7a-eed9-3239-a3e6-ce3018e558f4	98126ecb-e43c-39e8-a8f0-e80a0e58abe0	滨河绿洲花园	住宅	19	90.34	68.37	21.97	住宅		543723.0	经济开发区	东区	无			1304.0					3
1100	9227ef25-825c-31e1-8140-55e189440c0a	19d5e38d-e08c-3b19-a802-4936c91e6824	泉盛美家	住宅	19	80.01	59.62	20.39	住宅		667740.0	泉山区	西区	无			7177.0					3
1101	1095cb01-c351-3e2f-92a8-8d79bdcba4b0	1a399f10-0ec2-3b14-bf9c-abf227f63bff	上城国际	住宅	21	110.52	83.64	26.88	住宅		450628.04	铜山区	北区	无			1863.0					3
1102	d92a7a08-7c40-326b-b6c8-618a0de7f6f3	f3caa1b6-4f4a-31f6-91b3-27d2f30d7112	观澜悦居	住宅	16	87.96	63.53	24.44	住宅		530238.0	泉山区	西区	无			2321.0					3
1103	4a2f9272-a4a2-397a-8a0e-78efdd6b989f	c8c9e596-c359-36a8-aeaa-f7bfa3950a21	金域·香城	住宅	22	132.89	101.04	31.85	住宅		68190.0	沛县		无			733.0					3
1104	ae52d65e-5469-3b47-85c5-e3bd3bf978da	7ea1e784-2b88-3691-8654-d08529c32146	御水帝景城二期	住宅	12	116.09	86.56	29.53	住宅		726126.92	丰县		无			1758.0					3
1105	040d80b7-a734-316a-bb00-c8404139b723	35d62309-de97-34ee-9b06-b73627c37314	怡景嘉园	住宅	25	107.35	83.63	23.72	住宅		359769.0	泉山区	西区	无			764.0					3
1106	a86a9f3d-ccc8-3793-888b-81ebd0f0235d	03948c73-a41d-3d8e-97a0-2efbf9659406	中锐星尚城	住宅	21	130.98	100.33	30.65	住宅	227225.0	1384741.0	云龙区	东区	无	待定	1485.0	2643.0	1485个		36.0		3
1107	5fb83758-649d-3c6a-992a-54d8de15f005	db447b8f-f96d-3217-9c2e-e0d575b916fd	君临华府	住宅	28	123.65	98.2	25.45	住宅		1730864.7	邳州市		无			2536.0					3
1108	0c6048fa-76b9-3335-995a-fe912b8d251f	af46e615-a22b-3b56-8e1c-ac8d25358220	泉盛美家	住宅	10	130.61	96.57	34.04	住宅		1775645.08	铜山区	南区	无			5329.0					3
1109	0c6048fa-76b9-3335-995a-fe912b8d251f	43e20c96-23c4-3a89-9ffa-33ea805ef3ab	泉盛美家	住宅	14	99.13	73.77	25.37	住宅		1775645.08	铜山区	南区	无			5329.0					3
1110	937da538-6a85-3c44-b11c-4eda7163354a	a1d3a449-ebd5-3ce0-8f97-58f13a576760	科倍尚城	住宅	13	122.9	93.25	29.65	住宅		164995.05	新沂市		无			347.0					3
1111	9227ef25-825c-31e1-8140-55e189440c0a	d5ab2ad8-fdd9-3206-9ac6-c6b251840aff	泉盛美家	住宅	23	91.46	68.99	22.47	住宅		667740.0	泉山区	西区	无			7177.0					3
1112	5fb83758-649d-3c6a-992a-54d8de15f005	b7c45bf0-bb61-3fb8-9dca-0bee60219c9f	君临华府	住宅	10	130.8	102.58	28.22	住宅		1730864.7	邳州市		无			2536.0					3
